,assignmentid,stimulus_id,utterance,correct_guess,speaker_id,listener_id,scan_id,instance_type,target_id,tokens,dataset,mentions_target_class,uses_object_lang,uses_spatial_lang,uses_color_lang,uses_shape_lang,is_easy,is_view_dep
7263,40112,scene0086_00-rail-2-15-16,The rail is under the toilet paper,True,596,645,scene0086_00,rail,15,"['the', 'rail', 'is', 'under', 'the', 'toilet', 'paper']",nr3d,True,True,True,False,False,True,False
7295,13582,scene0435_00-door-3-18-13-21,The door to the room next door that has shoes in front of it.,True,506,367,scene0435_00,door,18,"['the', 'door', 'to', 'the', 'room', 'next', 'door', 'that', 'has', 'shoes', 'in', 'front', 'of', 'it']",nr3d,True,True,True,False,False,False,True
7503,2579,scene0030_00-window-3-26-27-58,The medium sized window closest to the green chalkboard.,True,188,260,scene0030_00,window,26,"['the', 'medium', 'sized', 'window', 'closest', 'to', 'the', 'green', 'chalkboard']",nr3d,True,True,True,True,False,False,False
7506,14148,scene0389_00-bag-2-22-23,The bag on the floor closest to the bed.,True,183,556,scene0389_00,bag,22,"['the', 'bag', 'on', 'the', 'floor', 'closest', 'to', 'the', 'bed']",nr3d,True,True,True,False,False,True,False
7540,33593,scene0222_00-desk-2-14-13,"You are looking for the desk between the bed, and the door outside.",True,645,471,scene0222_00,desk,14,"['you', 'are', 'looking', 'for', 'the', 'desk', 'between', 'the', 'bed', 'and', 'the', 'door', 'outside']",nr3d,True,True,True,False,False,True,True
7610,2471,scene0046_00-backpack-3-50-18-52,The backpack on the floor near the door of the room.,True,645,30,scene0046_00,backpack,50,"['the', 'backpack', 'on', 'the', 'floor', 'near', 'the', 'door', 'of', 'the', 'room']",nr3d,True,True,True,False,False,False,False
7622,36504,scene0086_00-paper_towel_dispenser-2-17-18,The higher towel dispenser.,True,192,353,scene0086_00,paper towel dispenser,17,"['the', 'higher', 'towel', 'dispenser']",nr3d,True,True,False,False,False,True,False
7675,20482,scene0046_00-backpack-3-52-18-50,It is the backpack at the foot of the bed.,True,56,85,scene0046_00,backpack,52,"['it', 'is', 'the', 'backpack', 'at', 'the', 'foot', 'of', 'the', 'bed']",nr3d,True,True,True,False,False,False,False
7875,15892,scene0086_00-sink-2-19-20,the sink closest to the toilets,True,220,129,scene0086_00,sink,19,"['the', 'sink', 'closest', 'to', 'the', 'toilets']",nr3d,True,True,True,False,False,True,False
7888,26142,scene0086_00-paper_towel_dispenser-2-17-18,The black dispenser over the yellow one,True,579,429,scene0086_00,paper towel dispenser,17,"['the', 'black', 'dispenser', 'over', 'the', 'yellow', 'one']",nr3d,True,True,True,True,False,True,False
8046,20674,scene0222_00-chair-2-7-6,The correct chair is pushed under the desk.,True,411,260,scene0222_00,chair,7,"['the', 'correct', 'chair', 'is', 'pushed', 'under', 'the', 'desk']",nr3d,True,True,True,False,False,True,False
8077,9423,scene0389_00-bag-2-22-23,This bag is nearer to the bed,True,596,315,scene0389_00,bag,22,"['this', 'bag', 'is', 'nearer', 'to', 'the', 'bed']",nr3d,True,True,True,False,False,True,False
